Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
114,31.08.2013,Москва,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31 31 августа 2013 года,,ОВД Тверское,Триумфальная площадь,16,"http://ovdinfo.org/express-news/2013/08/31/eduard-limonov-i-marat-salahiev-dostavleny-v-ovd-tverskoe, http://ovdinfo.org/express-news/2013/08/31/po-soobshcheniyam-ochevidcev-na-triumfalnoy-ploshchadi-zaderzhany-eshchyo-15, http://ovdinfo.org/express-news/2013/08/31/eduard-limonov-zaderzhan-na-triumfalnoy-ploshchadi-v-hode-provedenii-akcii"
115,04.09.2013,Москва,не согласовано,Unauthorised,акция,Direct action,социальная,Social,другое,Other,Акция у минздрава за доступность лечения гепатита С,,ОВД Тверское,"возле Министерства здравоохранения, Рахманиновский, 3",1,"http://ovdinfo.org/express-news/2013/09/04/utrom-u-zdaniya-ministerstva-zdravoohraneniya-byl-zaderzhan-aktivist, http://rylkov-fond.org/blog/novosti/actionminzdrav/"
116,06.09.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,Оргкомитет протестных действий,,"Пикет в поддержку ""узников Болотной""",,ОВД Китай-город,Манежная площадь,4,http://ovdinfo.org/express-news/2013/09/06/na-manezhnoy-ploshchadi-zaderzhali-aktivistov-vyshedshih-podderzhat-uznikov
117,08.09.2013,Москва,не согласовано,Unauthorised,активист,Activist,выборы,For fair elections,активист,Activist,Единый день голосования в Подмосковье,,,,7,"http://ovdinfo.org/express-news/2013/09/09/v-podmoskove-zaderzhan-advokat-dmitriy-trunin-kotoryy-ballotirovalsya-v, http://ovdinfo.org/express-news/2013/09/09/v-moskovskoy-oblasti-zaderzhan-aktivist-vitaliy-shushkevich-i-eshche-pyat"
118,10.09.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,антиПутин,anti-Putin,активист,Activist,"Пикет ""Путин - враг России""",,ОВД Китай-город,Красная площадь,1,http://ovdinfo.org/express-news/2013/09/10/aktivist-vladimir-ionov-zaderzhan-u-zdaniya-gim
119,11.09.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,другое,Other,Серия одиночных пикетов в поддержку Ильи Фарбера,,ОВД Арбат,"Поварская, 15",1,http://ovdinfo.org/express-news/2013/09/11/v-moskve-zaderzhan-petr-farber
120,12.09.2013,Москва,согласовано,Authorised,митинг,Rally,выборы,For fair elections,другое,Other,Инаугурация Собянина,,ОВД Дорогомилово,Поклонная гора,3,http://ovdinfo.org/express-news/2013/09/12/okolo-chasa-nazad-na-poklonnoy-gore-byli-zaderzhany-storonniki-alekseya
121,14.09.2013,Москва,не согласовано,Unauthorised,митинг,Rally,националистическая,,другое,Other,Народный сход против раздачи российского гражданства,,,Пушкинская площадь,25,"http://lenta.ru/news/2013/09/14/catch/, http://www.interfax.ru/moscow/news.asp?id=328927, http://russnation.livejournal.com/2013/09/11/"
122,18.09.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,стихийная,Spontaneous,Встреча у Думы: против реформы РАН,,ОВД Тверское,Охотный ряд,3,"http://ovdinfo.org/express-news/2013/09/18/zaderzhannye-ranee-u-gosdumy-ilya-hudyakov-aleksandr-maevskiy-i-ilya, http://ovdinfo.org/express-news/2013/09/18/okolo-gosdumy-zaderzhany-ilya-hudyakov-aleksandr-maevskiy-i-ilya-voroncov"
123,21.09.2013,Москва,согласовано,Authorised,агитация,Agitation,выборы,For fair elections,штаб Навального,,Одиночные пикеты у агитационного куба Навального,,ОВД Замоскворечье,м. Новокузнецкая,4,http://ovdinfo.org/express-news/2013/09/21/zaderzhanie-u-kuba-navalnogo-na-novokuzneckoy
124,22.09.2013,Москва,не согласовано,Unauthorised,активист,Activist,социальная,Social,ДОМ,,"Встреча с чиновниками московского департамента жилищной политики по поводу выселения жильцом общежития ""Салют""",,ОВД Пресненский,"Департамент жилищной политики, Газетный переулок, 1/12",1,"http://ovdinfo.org/express-news/1700, ""http://ovdinfo.org/express-news/2013/08/22/aktivistu-zaderzhannomu-v-departamente-zhilishchnoy-politiki-grozit-15-sutok, http://ovdinfo.org/express-news/2013/08/23/aleksandr-zimbovskiy-otpushchen-na-svobodu-sud-perenesen-na-ponedelnik-26"""
