Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
218,13.12.2012,не согласовано,Unauthorised,другое,Other,другое,Other,другое,Other,"Задержание активистов, защищающих мойку Михаила Вистицкого)",Activists arrested defending Michael Vistitsky's car wash,Новочеремушкинская ул,2,http://ovdinfo.org/express-news/1136
219,15.12.2012,не согласовано,Unauthorised,митинг,Rally,политзеки,Political prisoners,Координационный совет,Coordination Council,Марш Свободы,Freedom March,Сквер у Соловецкого камня,69,http://ovdinfo.org/article/spisok-zaderzhannykh-15-dekabrya
220,18.12.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,Другая Россия,Other Russia,"Акция на съезде районный судей - ""Свободной России независимый районный суд!""","Action at Congress of district judges - ""Free Russia, independent district courts!""", Колонный зал дома Союзов,6,http://ovdinfo.org/express-news/1166
221,19.12.2012,не согласовано,Unauthorised,акция,Direct action,ЛГБТ,LGBTQ,другое,Other,День поцелуев,Day of Kisses,Госдума,18,http://ovdinfo.org/express-news/1172
222,19.12.2012,не согласовано,Unauthorised,пикет,Picket,Против антимагнитского закона,Against the anti-Magnitsky Law,стихийная,Spontaneous,Пикет против принятия законопроекта о запрете усыновления детей гражданами США,Rally against the bill to ban adoptions by U.S. citizens,Госдума,13,http://ovdinfo.org/express-news/1171
223,22.12.2012,не согласовано,Unauthorised,акция,Direct action,Против антимагнитского закона,Against the anti-Magnitsky Law,другое,Other,Один против Госдумы ,One against the State Duma,Госдума,1,http://ovdinfo.org/express-news/1189
224,26.12.2012,не согласовано,Unauthorised,пикет,Picket,Против антимагнитского закона,Against the anti-Magnitsky Law,стихийная,Spontaneous,Пикетирование Совета Федерации против антимагнитского закона,Picketing of the Council of Federation on Anti-Magnitsky law,Совет Федерации,15,"http://ovdinfo.org/express-news/1192, http://ovdinfo.org/express-news/1194"
225,28.12.2012,не согласовано,Unauthorised,другое,Other,другое,Other,другое,Other,"Задержание активистов, защищающих мойку Михаила Вистицкого)",Activists arrested defending Michael Vistitsky's car wash,,2,"http://ovdinfo.org/express-news/1199, http://ovdinfo.org/express-news/1200"
226,29.12.2012,не согласовано,Unauthorised,другое,Other,другое,Other,другое,Other,"Задержание активистов, защищающих мойку Михаила Вистицкого)",Activists arrested defending Michael Vistitsky's car wash,,4,"http://ovdinfo.org/express-news/1203, http://ovdinfo.org/express-news/1204"
227,31.12.2012,не согласовано,Unauthorised,другое,Other,антиПутин,anti-Putin,другое,Other,"Задержание за выкрики ""Россия без Путина""","Arrest for shouting ""Russia without Putin""",Ленинградский вокзал,2,http://ovdinfo.org/express-news/1215
228,31.12.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная площадь,28,"http://ovdinfo.org/express-news/1205, http://ovdinfo.org/express-news/1211, http://ovdinfo.org/express-news/1216"
